card1,card2,board,score
A of Hearts,9 of Spades,8 of Spades | J of Hearts | 5 of Clubs | A of Clubs | 3 of Clubs,3434
3 of Spades,J of Clubs,9 of Spades | 2 of Hearts | 10 of Clubs | 4 of Hearts | 5 of Spades,7231
7 of Diamonds,8 of Spades,J of Clubs | 8 of Diamonds | K of Diamonds | 6 of Clubs | K of Clubs,2646
A of Spades,K of Hearts,2 of Clubs | K of Diamonds | 8 of Hearts | Q of Clubs | 2 of Spades,2710
2 of Hearts,8 of Clubs,Q of Diamonds | 5 of Diamonds | A of Hearts | 3 of Clubs | 10 of Spades,6395
8 of Diamonds,K of Clubs,2 of Diamonds | 7 of Diamonds | J of Spades | 8 of Hearts | 5 of Hearts,4712
J of Diamonds,K of Diamonds,10 of Spades | 6 of Clubs | 6 of Spades | Q of Spades | 9 of Diamonds,1601
5 of Diamonds,K of Diamonds,J of Hearts | A of Hearts | 8 of Diamonds | K of Spades | 4 of Hearts,3558
3 of Clubs,2 of Diamonds,A of Clubs | 9 of Clubs | Q of Clubs | 4 of Clubs | 2 of Hearts,569
7 of Clubs,5 of Hearts,7 of Hearts | 10 of Clubs | Q of Diamonds | 2 of Hearts | K of Spades,4922
3 of Clubs,9 of Spades,10 of Spades | A of Spades | 8 of Diamonds | 3 of Hearts | 6 of Clubs,5773
8 of Diamonds,9 of Clubs,A of Spades | 6 of Hearts | 3 of Hearts | 2 of Spades | 7 of Spades,6610
10 of Clubs,2 of Diamonds,7 of Spades | K of Spades | Q of Hearts | 8 of Spades | Q of Diamonds,3831
K of Clubs,A of Hearts,10 of Diamonds | A of Spades | 9 of Spades | 8 of Spades | 6 of Hearts,3345
5 of Spades,5 of Diamonds,5 of Clubs | 2 of Hearts | 7 of Diamonds | 7 of Spades | A of Hearts,282
9 of Hearts,7 of Clubs,Q of Diamonds | 5 of Clubs | 4 of Spades | 10 of Spades | J of Diamonds,7008
2 of Diamonds,7 of Hearts,3 of Hearts | K of Hearts | Q of Spades | 5 of Spades | 3 of Diamonds,5805
10 of Spades,10 of Diamonds,8 of Diamonds | 2 of Hearts | 6 of Diamonds | Q of Diamonds | 4 of Hearts,4322
10 of Hearts,7 of Hearts,Q of Spades | 2 of Hearts | 3 of Spades | 2 of Clubs | 6 of Spades,6076
9 of Clubs,Q of Hearts,9 of Hearts | 2 of Hearts | Q of Diamonds | J of Diamonds | 5 of Hearts,2745
A of Diamonds,Q of Spades,8 of Spades | 6 of Hearts | 4 of Hearts | 9 of Diamonds | J of Spades,6358
5 of Diamonds,7 of Diamonds,A of Spades | 6 of Hearts | 2 of Spades | 10 of Spades | 8 of Clubs,6575
5 of Spades,J of Clubs,8 of Clubs | 5 of Clubs | 3 of Diamonds | 4 of Hearts | 7 of Diamonds,5455
7 of Clubs,3 of Hearts,Q of Spades | 3 of Spades | 8 of Hearts | 6 of Clubs | J of Hearts,5848
4 of Spades,7 of Spades,7 of Hearts | Q of Diamonds | 4 of Hearts | A of Diamonds | 2 of Hearts,3183
4 of Diamonds,J of Clubs,2 of Spades | J of Diamonds | 8 of Spades | K of Diamonds | 7 of Hearts,4065
Q of Diamonds,Q of Clubs,J of Clubs | 3 of Spades | 8 of Clubs | 7 of Hearts | 2 of Hearts,3881
4 of Hearts,8 of Diamonds,A of Spades | 4 of Spades | 5 of Clubs | 6 of Clubs | Q of Hearts,5539
A of Clubs,5 of Spades,8 of Clubs | K of Hearts | 10 of Clubs | A of Spades | 10 of Diamonds,2501
2 of Clubs,3 of Diamonds,10 of Spades | 10 of Diamonds | Q of Clubs | Q of Spades | 4 of Spades,2740
2 of Hearts,2 of Spades,Q of Clubs | K of Diamonds | 5 of Spades | 9 of Diamonds | 9 of Spades,3085
9 of Hearts,8 of Diamonds,5 of Hearts | 5 of Clubs | 4 of Clubs | 6 of Hearts | 7 of Hearts,1605
J of Clubs,6 of Spades,K of Clubs | K of Diamonds | J of Spades | 10 of Diamonds | 2 of Diamonds,2613
10 of Hearts,Q of Clubs,6 of Spades | 5 of Clubs | A of Clubs | 10 of Diamonds | A of Diamonds,2502
J of Diamonds,7 of Hearts,5 of Spades | A of Spades | 7 of Spades | 3 of Spades | A of Clubs,2536
3 of Spades,5 of Diamonds,J of Hearts | 6 of Diamonds | A of Clubs | A of Diamonds | 7 of Spades,3447
5 of Hearts,J of Hearts,K of Spades | Q of Diamonds | 8 of Hearts | 6 of Hearts | J of Spades,4043
10 of Diamonds,10 of Clubs,8 of Clubs | 5 of Diamonds | 5 of Spades | J of Diamonds | 4 of Diamonds,2977
5 of Clubs,3 of Spades,8 of Hearts | Q of Hearts | 8 of Diamonds | 8 of Spades | J of Hearts,2027
A of Clubs,7 of Hearts,5 of Hearts | 9 of Spades | 3 of Clubs | 9 of Hearts | 6 of Spades,4466
3 of Diamonds,K of Clubs,3 of Spades | K of Diamonds | 2 of Diamonds | K of Spades | 9 of Spades,189
7 of Hearts,10 of Spades,8 of Clubs | K of Clubs | K of Spades | 8 of Hearts | A of Hearts,2644
8 of Hearts,8 of Diamonds,9 of Diamonds | 8 of Spades | K of Hearts | 7 of Diamonds | Q of Diamonds,2017
A of Clubs,7 of Spades,7 of Clubs | 8 of Spades | 6 of Clubs | Q of Hearts | K of Diamonds,4866
10 of Spades,3 of Spades,K of Clubs | Q of Clubs | 5 of Hearts | 5 of Diamonds | 4 of Spades,5362
7 of Diamonds,9 of Hearts,5 of Spades | K of Spades | 3 of Clubs | J of Spades | 10 of Spades,6799
3 of Clubs,J of Spades,10 of Clubs | 4 of Diamonds | 6 of Hearts | 9 of Diamonds | 6 of Spades,5222
10 of Spades,J of Hearts,J of Clubs | 3 of Clubs | A of Hearts | 7 of Hearts | A of Clubs,2492
6 of Diamonds,K of Hearts,Q of Hearts | 7 of Clubs | Q of Diamonds | J of Hearts | 4 of Spades,3824
Q of Hearts,9 of Clubs,K of Diamonds | 4 of Diamonds | 7 of Spades | 9 of Hearts | 10 of Diamonds,4482
4 of Hearts,10 of Clubs,7 of Clubs | K of Diamonds | 9 of Clubs | 10 of Spades | K of Spades,2625
Q of Spades,7 of Hearts,7 of Spades | Q of Clubs | 5 of Clubs | 10 of Diamonds | A of Spades,2765
K of Diamonds,6 of Hearts,A of Spades | 3 of Clubs | 4 of Spades | A of Clubs | 4 of Diamonds,2567
3 of Spades,2 of Spades,6 of Clubs | 8 of Hearts | Q of Spades | 7 of Spades | 5 of Clubs,7182
A of Hearts,6 of Diamonds,9 of Spades | J of Spades | 3 of Clubs | 7 of Hearts | 2 of Clubs,6504
3 of Spades,8 of Spades,J of Clubs | 3 of Hearts | 8 of Clubs | A of Diamonds | A of Hearts,2525
8 of Spades,9 of Diamonds,K of Spades | A of Spades | 4 of Spades | 2 of Clubs | 7 of Hearts,6294
4 of Diamonds,J of Diamonds,8 of Diamonds | Q of Hearts | 5 of Clubs | Q of Diamonds | K of Hearts,3823
6 of Diamonds,Q of Diamonds,7 of Diamonds | 8 of Hearts | 3 of Hearts | 2 of Clubs | 6 of Spades,5207
Q of Hearts,3 of Diamonds,9 of Diamonds | 10 of Diamonds | 6 of Clubs | 2 of Hearts | 3 of Hearts,5854
8 of Spades,5 of Spades,10 of Clubs | 9 of Clubs | 4 of Clubs | 9 of Diamonds | 8 of Hearts,3022
6 of Diamonds,J of Hearts,7 of Diamonds | 5 of Clubs | 6 of Hearts | 10 of Hearts | 6 of Clubs,2168
5 of Diamonds,K of Spades,A of Diamonds | 7 of Spades | K of Clubs | Q of Diamonds | 6 of Diamonds,3550
6 of Hearts,J of Diamonds,A of Diamonds | K of Clubs | 7 of Clubs | 6 of Diamonds | 9 of Clubs,5087
J of Clubs,10 of Hearts,8 of Clubs | Q of Diamonds | K of Clubs | 2 of Hearts | 5 of Spades,6679
Q of Hearts,A of Hearts,5 of Clubs | 9 of Diamonds | Q of Diamonds | 7 of Clubs | 5 of Diamonds,2787
2 of Clubs,K of Diamonds,2 of Spades | K of Hearts | 6 of Diamonds | 10 of Spades | 4 of Clubs,2713
Q of Spades,10 of Diamonds,A of Spades | 2 of Clubs | 4 of Diamonds | 2 of Diamonds | J of Spades,5976
8 of Clubs,5 of Spades,5 of Clubs | 9 of Hearts | 4 of Spades | 7 of Hearts | 5 of Hearts,2249
5 of Clubs,5 of Diamonds,8 of Hearts | 3 of Diamonds | 10 of Spades | 6 of Hearts | 7 of Spades,5476
K of Clubs,3 of Hearts,8 of Hearts | Q of Clubs | 8 of Diamonds | 8 of Clubs | J of Diamonds,2017
A of Clubs,A of Diamonds,6 of Spades | 9 of Clubs | 4 of Hearts | 6 of Hearts | K of Spades,2545
2 of Diamonds,A of Clubs,J of Spades | J of Diamonds | 6 of Hearts | 2 of Hearts | K of Hearts,2919
4 of Diamonds,8 of Diamonds,7 of Spades | J of Spades | 9 of Diamonds | A of Clubs | 2 of Hearts,6498
6 of Hearts,2 of Clubs,9 of Diamonds | 5 of Diamonds | 8 of Diamonds | 6 of Diamonds | K of Hearts,5165
8 of Spades,Q of Hearts,9 of Clubs | A of Spades | 8 of Diamonds | 2 of Clubs | 2 of Spades,3150
2 of Clubs,2 of Spades,6 of Diamonds | 10 of Clubs | 2 of Hearts | Q of Hearts | 8 of Spades,2424
10 of Spades,3 of Spades,J of Spades | K of Spades | 2 of Hearts | 7 of Hearts | 9 of Hearts,6799
8 of Spades,5 of Clubs,4 of Diamonds | 6 of Diamonds | 6 of Hearts | 10 of Clubs | Q of Diamonds,5195
8 of Spades,A of Hearts,4 of Diamonds | 2 of Hearts | J of Spades | Q of Hearts | 5 of Spades,6367
Q of Clubs,Q of Spades,K of Hearts | 8 of Spades | 3 of Hearts | 4 of Hearts | 4 of Diamonds,2799
5 of Hearts,8 of Spades,J of Diamonds | 2 of Hearts | 4 of Diamonds | A of Clubs | 3 of Diamonds,1609
A of Clubs,5 of Hearts,3 of Spades | K of Diamonds | J of Spades | 9 of Spades | 2 of Clubs,6241
5 of Hearts,2 of Hearts,9 of Diamonds | 4 of Hearts | 6 of Hearts | 8 of Spades | K of Diamonds,6943
3 of Spades,4 of Hearts,8 of Spades | 6 of Diamonds | 8 of Hearts | 6 of Clubs | Q of Spades,3108
2 of Spades,K of Clubs,9 of Spades | 2 of Clubs | 9 of Hearts | 6 of Hearts | 9 of Clubs,238
7 of Clubs,8 of Hearts,Q of Diamonds | 2 of Spades | 5 of Clubs | 8 of Spades | 2 of Diamonds,3152
7 of Spades,10 of Hearts,4 of Spades | A of Hearts | J of Diamonds | 6 of Clubs | 4 of Hearts,5545
3 of Clubs,Q of Clubs,6 of Hearts | 2 of Diamonds | 2 of Hearts | 10 of Clubs | 10 of Spades,3009
K of Hearts,7 of Hearts,6 of Hearts | 8 of Spades | 7 of Spades | J of Hearts | 3 of Spades,4932
5 of Diamonds,3 of Hearts,2 of Diamonds | 9 of Clubs | 8 of Clubs | Q of Clubs | 3 of Clubs,5861
2 of Hearts,6 of Spades,8 of Clubs | J of Hearts | K of Diamonds | A of Hearts | J of Clubs,3989
6 of Hearts,A of Diamonds,10 of Clubs | Q of Clubs | 2 of Spades | 6 of Spades | 9 of Diamonds,5097
Q of Hearts,8 of Hearts,8 of Spades | A of Hearts | 2 of Clubs | J of Spades | 8 of Clubs,2007
7 of Spades,Q of Diamonds,Q of Spades | 2 of Spades | 6 of Spades | 5 of Clubs | Q of Clubs,1793
J of Clubs,J of Hearts,A of Hearts | 5 of Diamonds | 3 of Diamonds | 9 of Clubs | A of Spades,2493
5 of Hearts,9 of Clubs,2 of Diamonds | K of Spades | 3 of Clubs | A of Hearts | 10 of Spades,6269
3 of Hearts,A of Hearts,10 of Spades | K of Clubs | K of Spades | 2 of Hearts | 2 of Diamonds,2710
10 of Hearts,6 of Spades,Q of Diamonds | Q of Hearts | 8 of Clubs | 6 of Clubs | J of Clubs,2778
2 of Spades,A of Clubs,7 of Diamonds | 9 of Diamonds | 6 of Spades | 5 of Clubs | A of Diamonds,3496
K of Clubs,6 of Diamonds,7 of Clubs | 6 of Hearts | 10 of Spades | 5 of Hearts | 2 of Spades,5160
A of Diamonds,K of Hearts,K of Spades | 7 of Clubs | 9 of Clubs | 2 of Spades | 8 of Diamonds,3573
K of Diamonds,9 of Spades,4 of Clubs | 2 of Hearts | J of Hearts | 8 of Spades | 10 of Spades,6798
J of Hearts,9 of Clubs,4 of Hearts | K of Diamonds | 8 of Hearts | 2 of Diamonds | 5 of Diamonds,6828
6 of Hearts,10 of Hearts,8 of Diamonds | 3 of Spades | J of Spades | A of Spades | 8 of Spades,4665
Q of Spades,9 of Diamonds,3 of Spades | 9 of Hearts | J of Diamonds | 3 of Clubs | K of Hearts,3074
A of Diamonds,3 of Diamonds,8 of Hearts | A of Spades | 7 of Diamonds | 9 of Clubs | 5 of Spades,3490
A of Clubs,9 of Clubs,5 of Diamonds | 7 of Clubs | 5 of Spades | A of Spades | 7 of Diamonds,2538
2 of Diamonds,Q of Clubs,9 of Hearts | 3 of Clubs | A of Hearts | 7 of Hearts | 9 of Diamonds,4439
5 of Diamonds,K of Hearts,Q of Clubs | 8 of Diamonds | 4 of Spades | 2 of Diamonds | 3 of Hearts,6772
10 of Hearts,Q of Diamonds,K of Diamonds | Q of Hearts | 6 of Spades | 7 of Clubs | Q of Spades,1754
10 of Spades,2 of Diamonds,10 of Clubs | 3 of Spades | 7 of Spades | 7 of Diamonds | 3 of Clubs,2961
10 of Clubs,K of Clubs,9 of Clubs | 9 of Hearts | 2 of Diamonds | 7 of Hearts | 7 of Diamonds,3030
J of Clubs,6 of Hearts,9 of Clubs | 4 of Diamonds | 4 of Hearts | J of Spades | 7 of Hearts,2901
J of Spades,J of Clubs,J of Hearts | 4 of Clubs | 7 of Spades | K of Hearts | 5 of Spades,1823
A of Hearts,4 of Clubs,7 of Diamonds | 2 of Hearts | 5 of Spades | 3 of Hearts | 9 of Diamonds,1609
J of Hearts,A of Diamonds,10 of Hearts | A of Hearts | 4 of Clubs | 3 of Diamonds | Q of Clubs,3381
8 of Hearts,A of Diamonds,5 of Diamonds | 9 of Clubs | Q of Spades | K of Clubs | 9 of Spades,4426
8 of Diamonds,9 of Diamonds,9 of Spades | 2 of Hearts | 9 of Hearts | 2 of Spades | 10 of Diamonds,238
J of Diamonds,9 of Hearts,10 of Hearts | 3 of Spades | A of Clubs | 8 of Clubs | 2 of Clubs,6470
10 of Hearts,10 of Diamonds,Q of Hearts | 3 of Clubs | 3 of Spades | 9 of Hearts | 4 of Clubs,2998
3 of Clubs,Q of Clubs,A of Hearts | 7 of Hearts | 10 of Hearts | 9 of Hearts | 6 of Hearts,697
3 of Hearts,3 of Clubs,7 of Hearts | 8 of Clubs | 7 of Clubs | 9 of Hearts | 5 of Hearts,3199
3 of Diamonds,6 of Spades,J of Hearts | 2 of Spades | A of Diamonds | 4 of Spades | 8 of Spades,6525
A of Hearts,3 of Hearts,2 of Hearts | 5 of Hearts | Q of Hearts | 2 of Clubs | 4 of Spades,605
7 of Diamonds,J of Spades,4 of Hearts | J of Clubs | 2 of Clubs | 7 of Hearts | 7 of Clubs,254
A of Hearts,K of Diamonds,6 of Spades | 3 of Clubs | 9 of Hearts | A of Clubs | 9 of Clubs,2512
6 of Spades,Q of Clubs,9 of Spades | 3 of Spades | 7 of Spades | 8 of Hearts | 6 of Diamonds,5201
3 of Clubs,6 of Spades,6 of Hearts | 2 of Hearts | K of Hearts | 10 of Diamonds | 7 of Hearts,5160
10 of Diamonds,9 of Spades,9 of Clubs | 6 of Hearts | 7 of Hearts | 8 of Diamonds | 4 of Diamonds,1604
10 of Spades,K of Clubs,A of Clubs | 8 of Clubs | 9 of Diamonds | Q of Clubs | 8 of Spades,4646
5 of Clubs,4 of Spades,A of Hearts | A of Spades | 10 of Diamonds | 10 of Hearts | J of Hearts,2503
5 of Hearts,10 of Hearts,K of Diamonds | 10 of Spades | 5 of Spades | 2 of Hearts | 3 of Clubs,2975
2 of Clubs,9 of Diamonds,K of Clubs | Q of Spades | 5 of Diamonds | A of Diamonds | 6 of Hearts,6204
9 of Clubs,Q of Hearts,8 of Spades | J of Spades | Q of Spades | Q of Clubs | 3 of Clubs,1764
10 of Hearts,2 of Spades,A of Hearts | 4 of Spades | 9 of Spades | 7 of Clubs | 6 of Spades,6560
7 of Clubs,Q of Hearts,K of Diamonds | A of Hearts | 8 of Spades | 5 of Diamonds | 5 of Clubs,5306
7 of Hearts,8 of Diamonds,K of Spades | Q of Hearts | 2 of Spades | J of Clubs | 6 of Spades,6693
6 of Clubs,7 of Spades,9 of Clubs | 5 of Spades | 4 of Clubs | 9 of Spades | A of Diamonds,4466
Q of Diamonds,7 of Diamonds,J of Diamonds | A of Hearts | 8 of Clubs | J of Hearts | 9 of Diamonds,3997
K of Diamonds,6 of Spades,7 of Spades | 5 of Diamonds | 6 of Clubs | 7 of Clubs | 10 of Diamonds,3162
3 of Diamonds,3 of Spades,8 of Spades | A of Spades | A of Diamonds | 6 of Clubs | 7 of Hearts,2583
A of Hearts,A of Clubs,8 of Clubs | 2 of Clubs | A of Diamonds | 2 of Diamonds | 10 of Diamonds,178
Q of Diamonds,2 of Diamonds,7 of Spades | J of Clubs | Q of Clubs | 3 of Clubs | 8 of Diamonds,3881
A of Clubs,J of Diamonds,6 of Spades | 7 of Diamonds | 5 of Diamonds | 10 of Spades | 8 of Hearts,6477
5 of Spades,7 of Hearts,2 of Clubs | Q of Spades | 9 of Spades | 9 of Hearts | K of Diamonds,4484
10 of Hearts,4 of Clubs,K of Diamonds | 7 of Hearts | 6 of Clubs | Q of Spades | 5 of Hearts,6727
7 of Spades,5 of Diamonds,9 of Hearts | 10 of Spades | 4 of Clubs | 8 of Clubs | 2 of Spades,7342
4 of Clubs,2 of Hearts,7 of Hearts | A of Hearts | 9 of Clubs | A of Diamonds | 4 of Diamonds,2571
5 of Spades,4 of Spades,4 of Clubs | 10 of Clubs | K of Spades | 8 of Clubs | K of Clubs,2691
8 of Clubs,6 of Diamonds,7 of Clubs | 6 of Hearts | 3 of Hearts | 10 of Hearts | Q of Hearts,5195
9 of Hearts,5 of Hearts,Q of Diamonds | 7 of Hearts | 2 of Hearts | 9 of Diamonds | 10 of Hearts,1499
7 of Spades,10 of Clubs,4 of Spades | 8 of Hearts | 5 of Spades | J of Clubs | 9 of Hearts,1603
Q of Hearts,J of Diamonds,10 of Spades | 7 of Hearts | 8 of Hearts | 4 of Clubs | 8 of Spades,4746
3 of Clubs,6 of Spades,Q of Diamonds | A of Spades | 2 of Clubs | 7 of Spades | 8 of Hearts,6435
9 of Clubs,6 of Clubs,10 of Spades | A of Hearts | 4 of Spades | J of Clubs | J of Hearts,4005
7 of Spades,5 of Diamonds,10 of Spades | 6 of Diamonds | 5 of Clubs | 4 of Diamonds | 7 of Clubs,3176
4 of Diamonds,J of Hearts,7 of Diamonds | A of Clubs | 2 of Spades | Q of Spades | 8 of Spades,6365
Q of Diamonds,J of Hearts,3 of Clubs | 9 of Diamonds | 9 of Spades | 7 of Hearts | 2 of Diamonds,4528
Q of Hearts,A of Spades,3 of Hearts | 10 of Clubs | 4 of Diamonds | 9 of Spades | 8 of Clubs,6386
10 of Spades,2 of Clubs,5 of Hearts | Q of Diamonds | 4 of Diamonds | 5 of Clubs | A of Diamonds,5317
8 of Spades,2 of Diamonds,9 of Hearts | J of Hearts | J of Clubs | 9 of Diamonds | 10 of Clubs,2845
9 of Clubs,2 of Clubs,J of Hearts | 3 of Hearts | 4 of Hearts | K of Spades | 10 of Diamonds,6802
Q of Diamonds,3 of Hearts,9 of Spades | 8 of Clubs | 4 of Clubs | 5 of Hearts | 6 of Clubs,7152
7 of Diamonds,5 of Clubs,6 of Diamonds | A of Clubs | 9 of Spades | 7 of Hearts | 4 of Spades,4901
Q of Spades,6 of Spades,A of Spades | 8 of Spades | K of Diamonds | K of Spades | 7 of Spades,346
5 of Clubs,6 of Diamonds,2 of Clubs | 2 of Hearts | 7 of Diamonds | J of Hearts | A of Spades,5988
7 of Hearts,7 of Spades,9 of Spades | 6 of Hearts | 5 of Diamonds | 8 of Clubs | 9 of Clubs,1605
7 of Diamonds,10 of Diamonds,3 of Spades | 8 of Diamonds | 3 of Hearts | A of Spades | 3 of Diamonds,2339
6 of Clubs,7 of Spades,8 of Diamonds | 6 of Diamonds | 4 of Hearts | 8 of Hearts | 10 of Clubs,3110
6 of Clubs,2 of Spades,10 of Spades | 7 of Spades | J of Spades | 8 of Diamonds | 4 of Hearts,7237
6 of Diamonds,9 of Hearts,2 of Diamonds | 7 of Hearts | 4 of Hearts | 7 of Clubs | 2 of Clubs,3210
K of Hearts,3 of Clubs,J of Clubs | 8 of Diamonds | 9 of Spades | Q of Spades | K of Spades,3602
5 of Diamonds,2 of Hearts,8 of Clubs | K of Spades | 3 of Spades | 5 of Clubs | Q of Hearts,5364
9 of Diamonds,Q of Spades,9 of Spades | A of Diamonds | 6 of Hearts | 3 of Diamonds | 8 of Hearts,4438
5 of Spades,9 of Diamonds,2 of Clubs | A of Clubs | K of Hearts | 6 of Clubs | 10 of Clubs,6268
2 of Diamonds,6 of Diamonds,J of Hearts | 8 of Diamonds | 5 of Hearts | 9 of Hearts | 4 of Diamonds,7277
7 of Clubs,8 of Diamonds,3 of Spades | A of Hearts | 10 of Spades | 2 of Hearts | 4 of Spades,6577
9 of Clubs,5 of Hearts,4 of Spades | 2 of Diamonds | 2 of Clubs | 9 of Spades | J of Spades,3087
2 of Diamonds,3 of Spades,6 of Hearts | 5 of Spades | 8 of Hearts | A of Diamonds | Q of Spades,6440
6 of Clubs,A of Hearts,J of Hearts | 4 of Clubs | 6 of Hearts | J of Diamonds | 7 of Diamonds,2875
5 of Spades,Q of Spades,7 of Diamonds | 4 of Diamonds | 4 of Clubs | 9 of Diamonds | 5 of Diamonds,3262
Q of Spades,5 of Diamonds,8 of Hearts | 7 of Hearts | 10 of Spades | A of Diamonds | 6 of Clubs,6393
3 of Clubs,9 of Spades,4 of Hearts | 5 of Spades | A of Hearts | A of Diamonds | 8 of Clubs,3492
7 of Spades,3 of Hearts,4 of Hearts | 2 of Spades | 4 of Diamonds | 2 of Clubs | 9 of Clubs,3309
5 of Diamonds,8 of Spades,4 of Hearts | J of Hearts | 3 of Hearts | A of Diamonds | 9 of Spades,6500
5 of Diamonds,3 of Clubs,2 of Hearts | 4 of Clubs | 6 of Clubs | 6 of Hearts | 10 of Clubs,1608
K of Spades,8 of Diamonds,2 of Diamonds | 5 of Hearts | 9 of Clubs | 5 of Spades | J of Clubs,5371
4 of Hearts,3 of Spades,A of Spades | 5 of Spades | 6 of Clubs | 8 of Diamonds | 4 of Clubs,5567
8 of Hearts,7 of Hearts,2 of Diamonds | 5 of Hearts | 10 of Clubs | 8 of Diamonds | 3 of Spades,4817
K of Clubs,7 of Hearts,2 of Clubs | 2 of Hearts | K of Hearts | Q of Hearts | 8 of Diamonds,2711
8 of Hearts,Q of Diamonds,2 of Hearts | 9 of Hearts | A of Spades | A of Clubs | 10 of Clubs,3390
8 of Diamonds,J of Clubs,9 of Diamonds | 6 of Hearts | 9 of Spades | 10 of Clubs | 5 of Clubs,4562
6 of Diamonds,4 of Spades,6 of Hearts | J of Spades | 6 of Clubs | 4 of Diamonds | 3 of Spades,272
7 of Hearts,8 of Clubs,K of Hearts | J of Hearts | 4 of Hearts | Q of Clubs | 8 of Spades,4701
Q of Diamonds,7 of Clubs,7 of Hearts | A of Diamonds | Q of Clubs | 9 of Diamonds | 7 of Spades,253
A of Hearts,2 of Spades,4 of Diamonds | K of Spades | 6 of Spades | Q of Spades | 8 of Diamonds,6210
9 of Clubs,8 of Diamonds,10 of Diamonds | 2 of Hearts | 7 of Diamonds | 2 of Spades | Q of Hearts,6074
J of Diamonds,2 of Diamonds,2 of Spades | 7 of Diamonds | 5 of Spades | 2 of Hearts | 3 of Diamonds,2435
2 of Spades,6 of Hearts,5 of Hearts | Q of Spades | J of Hearts | 9 of Clubs | 3 of Clubs,7046
3 of Spades,A of Clubs,4 of Hearts | 9 of Clubs | J of Hearts | 6 of Hearts | 2 of Clubs,6510
J of Diamonds,A of Hearts,5 of Clubs | 3 of Hearts | 6 of Spades | 7 of Spades | 9 of Spades,6504
Q of Diamonds,6 of Spades,3 of Spades | Q of Spades | 3 of Hearts | 4 of Spades | Q of Clubs,201
4 of Clubs,7 of Spades,10 of Diamonds | 10 of Spades | A of Clubs | 7 of Clubs | 9 of Diamonds,2952
3 of Diamonds,Q of Hearts,J of Hearts | 9 of Spades | Q of Clubs | 2 of Hearts | K of Clubs,3822
10 of Hearts,A of Hearts,K of Clubs | 6 of Hearts | K of Spades | J of Clubs | J of Spades,2611
5 of Hearts,4 of Hearts,7 of Hearts | A of Hearts | K of Clubs | 7 of Clubs | 9 of Spades,4869
7 of Diamonds,5 of Spades,K of Spades | 7 of Hearts | K of Hearts | A of Spades | A of Diamonds,2473
8 of Diamonds,5 of Clubs,8 of Spades | 6 of Diamonds | 10 of Spades | 2 of Diamonds | 2 of Hearts,3154
Q of Hearts,K of Clubs,K of Diamonds | 9 of Diamonds | 9 of Clubs | 6 of Clubs | 5 of Clubs,2634
3 of Hearts,4 of Diamonds,7 of Clubs | 3 of Spades | 6 of Hearts | Q of Spades | 10 of Diamonds,5856
4 of Spades,A of Clubs,8 of Hearts | 8 of Clubs | 7 of Clubs | 4 of Clubs | 8 of Spades,248
K of Spades,6 of Diamonds,5 of Diamonds | A of Spades | 5 of Clubs | 3 of Hearts | 2 of Hearts,5312
4 of Hearts,7 of Spades,A of Clubs | J of Clubs | 5 of Hearts | 4 of Diamonds | 7 of Diamonds,3183
2 of Diamonds,K of Clubs,2 of Clubs | 3 of Spades | J of Diamonds | 6 of Diamonds | 10 of Spades,6030
10 of Clubs,7 of Diamonds,Q of Hearts | 9 of Diamonds | K of Hearts | A of Clubs | 6 of Diamonds,6194
K of Diamonds,5 of Clubs,10 of Hearts | 4 of Clubs | 3 of Diamonds | J of Clubs | J of Spades,4054
6 of Diamonds,J of Spades,10 of Spades | 9 of Diamonds | 3 of Spades | J of Hearts | Q of Clubs,4086
7 of Hearts,6 of Spades,3 of Clubs | 8 of Diamonds | 4 of Hearts | 9 of Spades | 2 of Hearts,7411
9 of Hearts,7 of Spades,J of Clubs | 9 of Spades | A of Spades | 2 of Clubs | A of Hearts,2514
5 of Diamonds,A of Clubs,3 of Hearts | A of Spades | 4 of Hearts | 4 of Spades | 8 of Spades,2572
7 of Hearts,K of Diamonds,8 of Spades | K of Spades | 7 of Clubs | 10 of Hearts | 2 of Spades,2658
9 of Hearts,A of Clubs,4 of Spades | Q of Spades | 4 of Diamonds | A of Hearts | J of Diamonds,2568
8 of Diamonds,2 of Diamonds,2 of Clubs | 8 of Hearts | J of Diamonds | J of Hearts | 7 of Diamonds,2858
9 of Spades,9 of Hearts,5 of Clubs | Q of Spades | 5 of Diamonds | 2 of Spades | A of Spades,3051
A of Spades,3 of Clubs,A of Clubs | 9 of Hearts | 5 of Diamonds | 9 of Clubs | Q of Diamonds,2513
10 of Spades,7 of Hearts,J of Hearts | 10 of Hearts | 8 of Diamonds | 7 of Clubs | 2 of Spades,2955
10 of Spades,J of Clubs,9 of Diamonds | 5 of Clubs | 8 of Spades | J of Spades | 7 of Clubs,1603
9 of Hearts,4 of Hearts,7 of Spades | 3 of Hearts | K of Hearts | 3 of Spades | A of Diamonds,5749
A of Spades,5 of Hearts,K of Spades | 8 of Clubs | 4 of Clubs | 9 of Clubs | 7 of Spades,6294
2 of Hearts,8 of Spades,6 of Diamonds | 9 of Diamonds | 5 of Diamonds | 9 of Hearts | A of Clubs,4461
J of Clubs,J of Hearts,4 of Spades | 4 of Hearts | 4 of Clubs | K of Diamonds | 6 of Spades,290
